locality,fips,health_district,health_region,population_estimate
Giles,51071,New River,Southwest,16720
Patrick,51141,West Piedmont,Southwest,17608
Accomack,51001,Eastern Shore,Eastern,32316
Madison,51113,Rappahannock Rapidan,Northwest,13261
Covington,51580,Alleghany,Southwest,5538
Cumberland,51049,Piedmont,Central,9932
Hopewell,51670,Crater,Central,22529
Craig,51045,Alleghany,Southwest,5131
Tazewell,51185,Cumberland Plateau,Southwest,40595
Hampton,51650,Hampton,Eastern,134510
Colonial Heights,51570,Chesterfield,Central,17370
Gloucester,51073,Three Rivers,Eastern,37348
Greensville,51081,Crater,Central,11336
Fairfax,51059,Fairfax,Northern,1147532
Scott,51169,Lenowisco,Southwest,21566
Rappahannock,51157,Rappahannock Rapidan,Northwest,7370
Nelson,51125,Blue Ridge,Northwest,14930
Staunton,51790,Central Shenandoah,Northwest,24932
Galax,51640,Mount Rogers,Southwest,6347
Southampton,51175,Western Tidewater,Eastern,17631
Roanoke City,51770,Roanoke,Southwest,99143
Pittsylvania,51143,Pittsylvania-Danville,Southwest,60354
Botetourt,51023,Alleghany,Southwest,33419
Spotsylvania,51177,Rappahannock,Northwest,136215
Russell,51167,Cumberland Plateau,Southwest,26586
York,51199,Peninsula,Eastern,68280
Manassas Park,51685,Prince William,Northern,17478
Alexandria,51510,Alexandria,Northern,159428
Fauquier,51061,Rappahannock Rapidan,Northwest,71222
Mathews,51115,Three Rivers,Eastern,8834
Arlington,51013,Arlington,Northern,236842
Appomattox,51011,Central Virginia,Southwest,15911
Goochland,51075,Chickahominy,Central,23753
Orange,51137,Rappahannock Rapidan,Northwest,37051
Falls Church,51610,Fairfax,Northern,14617
Buckingham,51029,Piedmont,Central,17148
Northampton,51131,Eastern Shore,Eastern,11710
Emporia,51595,Crater,Central,5346
Martinsville,51690,West Piedmont,Southwest,12554
Brunswick,51025,Southside,Central,16231
Danville,51590,Pittsylvania-Danville,Southwest,40044
Buchanan,51027,Cumberland Plateau,Southwest,21004
Norfolk,51710,Norfolk,Eastern,242742
Powhatan,51145,Chesterfield,Central,29652
Franklin City,51620,Western Tidewater,Eastern,7967
Montgomery,51121,New River,Southwest,98535
Albemarle,51003,Blue Ridge,Northwest,109330
Louisa,51109,Blue Ridge,Northwest,37591
Pulaski,51155,New River,Southwest,34027
Radford,51750,New River,Southwest,18249
Surry,51181,Crater,Central,6422
Bristol,51520,Mount Rogers,Southwest,16762
Poquoson,51735,Peninsula,Eastern,12271
Henry,51089,West Piedmont,Southwest,50557
Waynesboro,51820,Central Shenandoah,Northwest,22630
Roanoke County,51161,Alleghany,Southwest,94186
James City,51095,Peninsula,Eastern,76523
King and Queen,51097,Three Rivers,Eastern,7025
Harrisonburg,51660,Central Shenandoah,Northwest,53016
Prince George,51149,Crater,Central,38353
Rockbridge,51163,Central Shenandoah,Northwest,22573
