year,fips,locality,health_district,health_region,age_group,sex,race_and_ethnicity,population_estimate
2019,51071,Giles,New River,Southwest,60-69,Female,Latino,9
2019,51141,Patrick,West Piedmont,Southwest,20-29,Female,Black,47
2019,51001,Accomack,Eastern Shore,Eastern,60-69,Male,Native American,8
2019,51113,Madison,Rappahannock Rapidan,Northwest,0-9,Female,Native American,2
2019,51580,Covington,Alleghany,Southwest,40-49,Female,Asian or Pacific Islander,12
2019,51049,Cumberland,Piedmont,Central,0-9,Female,Asian or Pacific Islander,3
2019,51670,Hopewell,Crater,Central,60-69,Female,Native American,6
2019,51045,Craig,Alleghany,Southwest,0-9,Female,Native American,0
2019,51049,Cumberland,Piedmont,Central,40-49,Male,Native American,4
2019,51185,Tazewell,Cumberland Plateau,Southwest,20-29,Female,Latino,29
2019,51650,Hampton,Hampton,Eastern,0-9,Male,White,2783
2019,51570,Colonial Heights,Chesterfield,Central,60-69,Male,Native American,6
2019,51073,Gloucester,Three Rivers,Eastern,50-59,Female,Native American,15
2019,51081,Greensville,Crater,Central,50-59,Female,Black,353
2019,51059,Fairfax,Fairfax,Northern,50-59,Female,Latino,10848
2019,51169,Scott,Lenowisco,Southwest,19-Oct,Female,Black,11
2019,51045,Craig,Alleghany,Southwest,50-59,Female,Latino,0
2019,51157,Rappahannock,Rappahannock Rapidan,Northwest,60-69,Male,Native American,2
2019,51125,Nelson,Blue Ridge,Northwest,50-59,Female,Native American,8
2019,51790,Staunton,Central Shenandoah,Northwest,80+,Male,Native American,1
2019,51640,Galax,Mount Rogers,Southwest,50-59,Female,Latino,28
2019,51175,Southampton,Western Tidewater,Eastern,19-Oct,Female,Black,361
2019,51770,Roanoke City,Roanoke,Southwest,19-Oct,Female,Black,2201
2019,51143,Pittsylvania,Pittsylvania-Danville,Southwest,70-79,Male,White,2403
2019,51023,Botetourt,Alleghany,Southwest,80+,Female,Asian or Pacific Islander,3
2019,51177,Spotsylvania,Rappahannock,Northwest,40-49,Male,White,5780
2019,51049,Cumberland,Piedmont,Central,0-9,Male,White,307
2019,51167,Russell,Cumberland Plateau,Southwest,80+,Female,Latino,6
2019,51199,York,Peninsula,Eastern,20-29,Female,Latino,310
2019,51685,Manassas Park,Prince William,Northern,40-49,Female,Asian or Pacific Islander,150
2019,51510,Alexandria,Alexandria,Northern,80+,Female,Asian or Pacific Islander,216
2019,51061,Fauquier,Rappahannock Rapidan,Northwest,40-49,Female,Native American,8
2019,51115,Mathews,Three Rivers,Eastern,60-69,Male,Latino,13
2019,51013,Arlington,Arlington,Northern,40-49,Female,White,9745
2019,51011,Appomattox,Central Virginia,Southwest,19-Oct,Male,Black,199
2019,51013,Arlington,Arlington,Northern,70-79,Male,Native American,13
2019,51510,Alexandria,Alexandria,Northern,40-49,Female,Native American,26
2019,51075,Goochland,Chickahominy,Central,0-9,Female,Asian or Pacific Islander,18
2019,51137,Orange,Rappahannock Rapidan,Northwest,40-49,Female,Native American,10
2019,51610,Falls Church,Fairfax,Northern,40-49,Male,Native American,4
2019,51029,Buckingham,Piedmont,Central,60-69,Female,Native American,3
2019,51131,Northampton,Eastern Shore,Eastern,0-9,Female,White,210
2019,51595,Emporia,Crater,Central,70-79,Female,Asian or Pacific Islander,3
2019,51690,Martinsville,West Piedmont,Southwest,70-79,Female,Asian or Pacific Islander,5
2019,51025,Brunswick,Southside,Central,20-29,Male,Black,1093
2019,51590,Danville,Pittsylvania-Danville,Southwest,60-69,Male,Latino,53
2019,51027,Buchanan,Cumberland Plateau,Southwest,70-79,Female,White,1224
2019,51710,Norfolk,Norfolk,Eastern,60-69,Male,Latino,347
2019,51145,Powhatan,Chesterfield,Central,70-79,Male,Native American,5
2019,51620,Franklin City,Western Tidewater,Eastern,20-29,Male,Black,274
2019,51121,Montgomery,New River,Southwest,50-59,Male,Latino,86
2019,51003,Albemarle,Blue Ridge,Northwest,80+,Male,Latino,29
2019,51109,Louisa,Blue Ridge,Northwest,60-69,Male,Latino,27
2019,51177,Spotsylvania,Rappahannock,Northwest,80+,Male,Native American,9
2019,51155,Pulaski,New River,Southwest,50-59,Male,Black,148
2019,51750,Radford,New River,Southwest,50-59,Male,Black,67
2019,51185,Tazewell,Cumberland Plateau,Southwest,0-9,Male,Native American,4
2019,51181,Surry,Crater,Central,0-9,Female,White,138
2019,51520,Bristol,Mount Rogers,Southwest,60-69,Male,Latino,10
2019,51735,Poquoson,Peninsula,Eastern,80+,Female,Latino,2
2019,51089,Henry,West Piedmont,Southwest,20-29,Male,Black,671
2019,51820,Waynesboro,Central Shenandoah,Northwest,80+,Male,Latino,27
2019,51161,Roanoke County,Alleghany,Southwest,60-69,Male,Black,295
2019,51690,Martinsville,West Piedmont,Southwest,20-29,Male,Black,410
2019,51095,James City,Peninsula,Eastern,20-29,Male,Black,731
2019,51097,King and Queen,Three Rivers,Eastern,60-69,Female,Native American,7
2019,51660,Harrisonburg,Central Shenandoah,Northwest,19-Oct,Male,Latino,888
2019,51149,Prince George,Crater,Central,50-59,Male,Black,802
2019,51163,Rockbridge,Central Shenandoah,Northwest,30-39,Female,White,1051
2019,51165,Rockingham,Central Shenandoah,Northwest,0-9,Female,Asian or Pacific Islander,53
2019,51079,Greene,Blue Ridge,Northwest,19-Oct,Male,Latino,184
2019,51021,Bland,Mount Rogers,Southwest,80+,Male,Native American,0
2019,51650,Hampton,Hampton,Eastern,80+,Female,Native American,14
2019,51830,Williamsburg,Peninsula,Eastern,40-49,Female,White,319
2019,51097,King and Queen,Three Rivers,Eastern,70-79,Female,White,268
2019,51191,Washington,Mount Rogers,Southwest,50-59,Male,Latino,42
2019,51051,Dickenson,Cumberland Plateau,Southwest,20-29,Male,Latino,17
2019,51065,Fluvanna,Blue Ridge,Northwest,19-Oct,Male,Latino,105
2019,51077,Grayson,Mount Rogers,Southwest,80+,Male,Black,10
2019,51550,Chesapeake,Chesapeake,Eastern,80+,Male,Native American,7
2019,51009,Amherst,Central Virginia,Southwest,40-49,Female,Black,362
2019,51169,Scott,Lenowisco,Southwest,20-29,Female,Native American,5
2019,51111,Lunenburg,Piedmont,Central,30-39,Female,Latino,36
